session_id	depth	agent_path	agent_nickname	created_at_utc	updated_at_utc	source_under_codex_home	file	sha256	redactions
019f2832-e134-7e31-9969-1d56b2f65234	0			2026-07-03T13:37:30+00:00	2026-07-06T21:31:09+00:00	sessions/2026/07/03/rollout-2026-07-03T13-37-30-019f2832-e134-7e31-9969-1d56b2f65234.jsonl	rollouts/rollout-2026-07-03T13-37-30-019f2832-e134-7e31-9969-1d56b2f65234.jsonl	f6f1f2157115aa1998ad500e9f8a8b752178e2f6247fe0815614a55fe14f3ae3	27
019f2833-344c-77b2-ac70-5b2e11dabd52	1	/root/b200_eigh_research	Galileo	2026-07-03T13:37:52+00:00	2026-07-03T13:42:32+00:00	sessions/2026/07/03/rollout-2026-07-03T13-37-52-019f2833-344c-77b2-ac70-5b2e11dabd52.jsonl	rollouts/rollout-2026-07-03T13-37-52-019f2833-344c-77b2-ac70-5b2e11dabd52.jsonl	df0a42780eff9f4d7c50e40f7ed2010185cb8689c329bcf4b1570244580a40ef	0
019f283c-5cc8-70d3-ad2e-869469f03ceb	1	/root/brief_0	McClintock	2026-07-03T13:47:52+00:00	2026-07-03T17:23:30+00:00	sessions/2026/07/03/rollout-2026-07-03T13-47-52-019f283c-5cc8-70d3-ad2e-869469f03ceb.jsonl	rollouts/rollout-2026-07-03T13-47-52-019f283c-5cc8-70d3-ad2e-869469f03ceb.jsonl	62e1cc8e556e8d95aa8169bead8107b467cd9dbd12d24ea662397fccc5a1bc22	3
019f283c-7279-7ad2-8ca8-2afa91bb7b38	1	/root/brief_1	Rawls	2026-07-03T13:47:57+00:00	2026-07-03T17:34:08+00:00	sessions/2026/07/03/rollout-2026-07-03T13-47-57-019f283c-7279-7ad2-8ca8-2afa91bb7b38.jsonl	rollouts/rollout-2026-07-03T13-47-57-019f283c-7279-7ad2-8ca8-2afa91bb7b38.jsonl	c62ed180d8c7ab4779c3d48f188a56b2f3ce6fe02a03ed3565a07e3238b3361b	4
019f283c-810f-7211-9708-cde408333d69	1	/root/brief_2	Darwin	2026-07-03T13:48:01+00:00	2026-07-03T19:27:58+00:00	sessions/2026/07/03/rollout-2026-07-03T13-48-01-019f283c-810f-7211-9708-cde408333d69.jsonl	rollouts/rollout-2026-07-03T13-48-01-019f283c-810f-7211-9708-cde408333d69.jsonl	2abeda80c36bcf76a3d11e08c648595a6391f1ded4c0523e81ddd347dfc8ebab	2
019f2906-d124-7e53-950a-7afc6125819d	1	/root/brief_3	Pauli	2026-07-03T17:29:00+00:00	2026-07-03T20:05:34+00:00	sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl	rollouts/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl	4a57d0134823a69e8a080ef7b1af9628b3b22c92cea4ae8c52a64ffe84aaf793	1
019f290b-d7d2-7043-87a4-f37faae46d12	1	/root/brief_4	Wegener	2026-07-03T17:34:29+00:00	2026-07-03T22:52:57+00:00	sessions/2026/07/03/rollout-2026-07-03T17-34-29-019f290b-d7d2-7043-87a4-f37faae46d12.jsonl	rollouts/rollout-2026-07-03T17-34-29-019f290b-d7d2-7043-87a4-f37faae46d12.jsonl	5e66dc41ad81fdc49776829d81b915230efa3faf8e8077099a2995a2f4bc34d5	2
019f2974-887f-7732-8533-e0d3671b8658	1	/root/brief_5	Schrodinger	2026-07-03T19:28:50+00:00	2026-07-03T22:30:56+00:00	sessions/2026/07/03/rollout-2026-07-03T19-28-50-019f2974-887f-7732-8533-e0d3671b8658.jsonl	rollouts/rollout-2026-07-03T19-28-50-019f2974-887f-7732-8533-e0d3671b8658.jsonl	82d0284441b6dc92cdcc9fb2fcbd009395c61256fdc3c600396286b36311f629	2
019f2996-b408-7352-8da3-bb09428ed79c	1	/root/brief_6	Maxwell	2026-07-03T20:06:10+00:00	2026-07-03T21:16:42+00:00	sessions/2026/07/03/rollout-2026-07-03T20-06-10-019f2996-b408-7352-8da3-bb09428ed79c.jsonl	rollouts/rollout-2026-07-03T20-06-10-019f2996-b408-7352-8da3-bb09428ed79c.jsonl	d500c0378d077275b03ece42a4e22be446e13af6bd2bf3f0d23bae40a8d134a5	1
019f299c-8cda-7880-9822-d62d6ec980d9	1	/root/brief_7	Laplace	2026-07-03T20:12:33+00:00	2026-07-04T00:21:31+00:00	sessions/2026/07/03/rollout-2026-07-03T20-12-33-019f299c-8cda-7880-9822-d62d6ec980d9.jsonl	rollouts/rollout-2026-07-03T20-12-33-019f299c-8cda-7880-9822-d62d6ec980d9.jsonl	143098ed622eb1df2ffe1188854f8ef3d65c7b3133617366fa4c7e105d7d5aaf	4
