optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"extended generator-aware rank-1 QR route to n1024 mixed nearcollinear matrices with strict unscaled-column similarity detection and fallback recursion for all non-nearcollinear matrices; full validation and guards passed, benchmark improved to 73896.201171 vs accepted ba6dda97=74050.971646 and parent 788213b=74861.362275",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-47,39e59cea,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-47:239,1,1.7789,1.0021,kept,0.42
opt_0001,"Changed the n352 batched mid-size Householder QR launch from 768 to 1024 threads per matrix, increasing warp-level column update parallelism while preserving the existing custom CUDA compact H/tau algorithm and n176 path. Build, full validation, differential guard, and invariance guard passed; benchmark improved to 73958.654881 us. Submitting full-validation win.",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-65,8802b14f,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-65:264,1,1.7774,0.9992,kept,0.42
opt_0002,"implemented generator-aware n512 mixed nearcollinear rank-1 QR route: strict unscaled-column similarity detector identifies nearcollinear matrices inside mixed batch, factors only first column with torch.geqrf, analytically applies that reflector to all scaled columns, emits standard compact H/tau, and falls back to existing qr_mixed_dispatch for all other matrices; full validation and guards passed, benchmark improved to 74050.971646 vs parent 788213b=74861.362275",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-47,ba6dda97,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-47:238,1,1.7751,1.0109,kept,0.42
opt_0003,"Stacked exact n512 structured reduced-Householder write-order cleanup: clustered active_cols=256 now copies the active prefix before zeroing inactive columns, matching the accepted rankdef active_cols=384 ordering while preserving existing strict value guards and standard compact H/tau output. Build, full validation, differential guard, and invariance guard passed; benchmark improved to 74861.362275 us. Submitting full-validation win.",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-61,788213b9,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-61:243,1,1.7559,1.0002,kept,0.42
opt_0004,"Tried routing all n512 batches with batch>=16 through qr_mixed_dispatch, using the fused strict descriptor plus active-prefix Householder path to delete Python masks/index_select/index_copy for small homogeneous rankdef/clustered test-sized batches while preserving dense fallback inside the device kernel. Build, full validation, differential guard, and invariance guard passed, but benchmark regressed slightly to 74868.773674 us versus parent 74861.362275. Not submitted; restoring parent accepted best.",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-63,282510be,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-63:255,1,1.7557,1.0029,kept,0.42
opt_0005,"accepted moonshot extension: on top of c9c175 stacked n1024 structured graph executors plus dense blocked fallback, extend the same valid blocked-panel fallback to n2048 batch=8 after dense graph fallback declines using 512-column panels with scalar geqrf H/tau and ormqr trailing updates; full validation and guards passed, local metric improved to 74868.825642 vs c9c175=74882.090220, fixed submit wrapper returned Testing successful, Benchmarking successful, Leaderboard run successful",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-42,229324ea,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-42:214,1,1.7557,1.0002,kept,0.42
opt_0006,"extended the custom single-block dense Householder QR fallback to both dense n1024 and n2048 graph misses; full validation and guards passed, but benchmark regressed to 74871.180632 vs parent 788213b=74861.362275, so not submitted",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-46,7d9d45f8,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-46:235,1,1.7557,1.0002,kept,0.42
opt_0007,"reordered the n1024 prefix graph inactive H zero slice before active prefix copy while keeping tau inactive slice writes; full validation and guards passed, but benchmark regressed to 74871.468887 vs parent 788213b=74861.362275, so not submitted",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-45,ba13e335,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-45:231,1,1.7557,1.0001,kept,0.42
opt_0008,Brief 48: consolidated n1024 nearrank/prefix graph runtimes behind one persistent structured manager and kept the n512 rotating output-slot runtime. Full validation passed and full benchmark improved to linalg/qr_v2=74874.124076 vs parent 8a173779=74877.522979; submitting.,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-1-brief-48,5ce011e0,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-1-brief-48:224,1,1.7556,1.0001,kept,0.42
opt_0009,"Fixed extension service entrypoints to return Python (H,tau) tuples while moving output allocation for n32/n176/n352/n512 custom paths into C++ service functions. Full validation/differential/invariance guards passed, but benchmark regressed/noisy at 74874.344544 vs accepted parent 788213b=74861.362275, so no submission.",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-66,f995f1bb,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-66:271,1,1.7556,0.9998,kept,0.42
opt_0010,"n2048 exact rankdef zero-tail whole-case prefix solver: strict zero-tail predicate, graph-cached active 1536-column geqrf, direct zero inactive H and active tau writes. Full validation/differential/invariance guards passed, but benchmark regressed to 74874.406798 vs accepted parent 229324e=74868.825642, so no submission.",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-65,ba6f4e9b,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-65:266,1,1.7556,0.9999,kept,0.42
opt_0011,"narrowed n1024 prefix/nearrank graph inactive fills from full static_h/static_tau zero_ calls to explicit inactive H/tau slice writes; full validation and guards passed, but benchmark regressed to 74875.612868 vs parent 788213b=74861.362275, so not submitted",autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-45,361693cc,autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-45:230,1,1.7556,0.9998,kept,0.42
