timestamp,brief_id,trial,linalg/eigh_py,status,commit,description
2026-07-04T06:48:34.250238,27,N/A,N/A,brief_start,N/A,"Replace the five-size solver's whole-batch n=1024 structure gate with device-side per-matrix classification and compaction: launch the clustered custom path on safe matrices, Xsyev on unsafe matrices with stream overlap where practical, scatter ordered outputs without host synchronization, and retain exact certification, cleanup, stress routing, and all smaller-size paths."
2026-07-04T06:53:21.351171,27,0,39098.953,succeeded,56281428cc3da765d99f4072b1da66b9d8c339b1,"Used the existing GPU per-matrix diagonal classifier to compact mixed n1024 batches into custom and cuSOLVER subsets and scatter both result sets on-device. All 39 tests pass, but the two subsets execute serially: mixed n1024 rises from about 106232 to 210798 us and full geomean regresses from 37056.869 to 39098.953 us, while homogeneous paths are unchanged."
2026-07-04T06:55:54.752238,27,1,N/A,validation_error,a6f38297c7e9a113ce98605f72b82fe5fff3078b,"Routed n1024 custom kernels, certificate, compact-WY and cuSOLVER to two PyTorch CUDA streams so unsafe library work could overlap the safe clustered path. Compilation succeeds, but the official validator's banned-construct gate rejects submission.py references to streams; no benchmark metric was produced."
2026-07-04T07:00:32.973414,27,2,39039.368,succeeded,90463f14d69acf0834947c588477590f52d8896b,"Reordered the legal single-stream selective path to enqueue the unsafe n1024 Xsyev subset before the safe clustered subset, allowing any cuSOLVER-internal scheduling latitude without explicit streams. All 39 tests pass. Mixed n1024 improves from 210798 to 209483 us and aggregate from 39098.953 to 39039.368 us, but remains above the 106232 us whole-batch parent."
2026-07-04T07:02:02.668763,27,3,41921.023,succeeded,b5be1d8ce483104ca9fa4681e24b63827a1d5e9d,"Removed the heuristic pre-gate and ran the clustered n1024 solver on every matrix, relying on its exact per-matrix certificate and selective Xsyev repair to calibrate routing. All 39 tests pass. Mixed n1024 improves versus serial pre-splitting from 209483 to 157587 us, but nearrank/geometric rise to 193304/190187 us because all matrices still require Xsyev after the 87 ms custom pass; full geomean regresses to 41921.023 us."
2026-07-04T07:05:07.244205,27,4,41987.171,succeeded,75c140bf92f696b06c77c97a16933fe229087633,"Raised n1024 tridiagonal bisection from 25 to 27 steps while routing all matrices through custom solve plus exact selective repair. All 39 tests pass. The tighter localization does not clear unsafe certificates: nearrank/geometric remain 193959/190873 us, mixed is 156430 us, standard rises from 87002 to 87790 us, and aggregate is 41987.171 us."
2026-07-04T07:08:33.112500,27,5,42179.374,succeeded,ae227a3da92959c8ebb4b43a4896663f424ebcf0,"Restored 25 bisection steps and doubled n1024 inverse iteration from two to four shifted solves per eigenvector, leaving all smaller sizes unchanged. All 39 tests pass, but unsafe certificates still require Xsyev: nearrank/geometric measure 196219/193034 us, mixed 158582 us, standard 89917 us, and aggregate regresses to 42179.374 us."
2026-07-04T07:11:41.855995,27,6,58055.928,succeeded,af34b9b64adfc7c077a30a36a9bf09392bf58049,"Replaced divergent n1024 Newton-Schulz cleanup with full batched FP32 QR, Rayleigh values, device sorting/gather, exact certificate, and selective repair. All 39 tests pass and QR stabilizes the collapsed subspaces, but its cost dominates: all n1024 terms rise to about 428476-431777 us and aggregate regresses to 58055.928 us."
2026-07-04T07:13:47.391492,27,7,56956.331,succeeded,d4ddd1a387fcbdf1df69879d7b1253876447d1de,"Replaced full n1024 QR with sixteen 64-column batched QR tiles followed by two strict global Newton corrections, Rayleigh ordering, exact certificate, and repair. All 39 tests pass, but tiled QR remains expensive and does not prevent unsafe fallback: standard/mixed/nearrank/geometric are 337983/406621/444855/441562 us and aggregate is 56956.331 us."
2026-07-04T07:19:05.068052,27,8,43396.862,succeeded,8859ea059ac7a14eaed72f4f4ec9b5716bd0c343,"Replaced hand-written n1024 tridiagonal inverse iteration with 60 workspace-reusing cusolverDnXstedc CUSOLVER_EIG_COMP_I calls and a tiled device transpose, retaining the clustered reduction, WY backtransform, fixed cleanup, exact certificate and repair. All 39 tests pass. Robust STEDC reduces nearrank versus custom-plus-repair from about 193304 to 144786 us, but standard/mixed/geometric are 149923/212347/170378 us and aggregate 43396.862 us, above whole-batch Xsyev."
2026-07-04T07:22:24.243797,27,9,44236.259,succeeded,2b907bf3342956acc9e63bdfc69dfd95d5734b77,"Restored the 40-way custom n1024 tridiagonal solve and applied FP32 QR only to the lowest 256 columns of positive spectra and centered 256 columns of signed planted spectra before global cleanup and exact repair. All 39 tests pass. Standard stays 87252 us, but the targeted QR still does not clear unsafe fallback: mixed/nearrank/geometric are 184705/250944/247646 us and aggregate is 44236.259 us."
2026-07-04T07:28:26.305160,27,10,37090.611,succeeded,a032cd4e4de2106e5c506a0a00ef2004d406ea18,"Replaced the n1024 chain of PyTorch diagonal reductions and mask kernels with one 256-thread CUDA CTA per matrix that computes trace, diagonal norm, peak, every per-matrix unsafe flag, and an aggregate flag. Retained whole-batch Xsyev when any unsafe matrix exists because legal selective execution measured slower. All 39 tests pass; n1024 standard/mixed/nearrank/geometric are 87281/106272/105758/102790 us and full geomean is 37090.611 us, noise-tied with parent 37056.869."
