timestamp,brief_id,trial,linalg/cholesky_py,status,commit,description
2026-07-19T11:25:58.339684,30,N/A,N/A,brief_start,N/A,"Combine the L1-preferred 32-wide strided-panel MathDx n=2048 global-best stack with the pair-local, owner-polled two-CTA n=256 winner. Import only the newer cooperative synchronization/operator path and its shape cache while preserving the isolated n=2048 operator, queue cache, and every n=512/n=1024/n=4096/small/large dispatch; validate state resets, cleanup, caller-stream semantics, and the full grid."
2026-07-19T11:34:44.462171,30,0,949.830,succeeded,f24ec59,"Merged only the robust pair-local epoch/arrival n256 operator, caller-queue launch, flags, and shape cache onto the L1-preferred n2048 MathDx stack; build, kernelguard, all official tests, six fresh-input guards, and full grid passed. n256 measured 130.069 us, n2048 measured 2549.808 us, and aggregate measured 949.830 us."
2026-07-19T11:40:35.329468,30,1,940.489,succeeded,cb84a21ceb08599d334ee7340916afcabc60bcd3,"Separated int32 synchronization-flag views from the shared float array-view helper so n256 owns its type path while n512/n2048 MathDx float views remain unchanged. All validation gates passed; n256 measured 126.095 us, n2048 measured 2505.454 us, and the full-grid metric measured 940.489 us."
2026-07-19T11:44:24.375385,30,2,935.301,succeeded,bbf1088c9b245a75c8debe58e9ab20376a312717,"Initialized each cached n256 pair-local marker/arrival buffer to zero, preventing a fresh uninitialized marker from matching the first epoch token while leaving all timed repeated launches and the independent n2048 queue/operator untouched. Full validation passed; n256 measured 120.973 us, n2048 2523.672 us, and aggregate 935.301 us."
2026-07-19T11:50:59.695896,30,3,943.226,succeeded,e57b4342bfb19a405cc1346e5130f43d21739f59,"Removed the unreachable one-CTA n256 kernel body, leaving the imported pair-local two-CTA operator as the only dedicated n256 kernel while preserving all shared device helpers and the separate n2048 operator. Validation passed; n256 measured 126.627 us, n2048 2532.018 us, and aggregate 943.226 us."
2026-07-19T11:55:16.189068,30,4,933.198,succeeded,0b37b0ce7d12293ade1a43593de8bd3da116ecee,"Cached the transposed n256 output tensor inside its identity-checked shape entry, avoiding repeated output-view construction while retaining the zeroed physical storage, initialized flags, and independent n2048 state. All gates passed; n256 measured 120.776 us, n2048 2497.654 us, and aggregate 933.198 us."
2026-07-19T12:00:35.271682,30,5,933.552,succeeded,46d4bae5c40b0e3b5df786e0cef3bb9d6a74c150,"Made the dedicated n256 batch-64 contract explicit in its dispatch and removed the repeated batch argument/shape lookup from the caller-queue launch while keeping all operators and caches isolated. Validation passed; n256 measured 120.763 us, n2048 2489.899 us, and aggregate 933.552 us."
2026-07-19T12:06:02.901735,30,6,940.037,succeeded,9207ae74e4ca123fd0f3b5e20924f1a46c8d9a7e,"Replaced the host-provided n256 epoch with fixed stage tokens 1-4 over deterministically initialized pair-local markers, relying on caller-stream serialization to leave each prior launch at token 4. All validation passed; n256 measured 125.130 us, n2048 2497.565 us, and aggregate 940.037 us."
2026-07-19T12:10:25.471210,30,7,933.207,succeeded,8df89182d0acc30994c9e4f68b5f737b620e4825,"Restored monotonic n256 epoch tokens and cached the standard Numba launch configuration per caller queue handle, avoiding repeated dispatcher configuration while preserving stream changes and keeping n2048 queue/dispatch state separate. Validation passed; n256 measured 120.641 us, n2048 2497.794 us, and aggregate 933.207 us."
2026-07-19T12:15:36.366294,30,8,940.247,succeeded,6974f78575d208fbc704f882e214b93d56001b76,"Precreated a bounded ring of int32 epoch scalars for the cached n256 launcher, avoiding per-call scalar construction while retaining distinct stage-token congruence and all isolated n2048 state. Validation passed; n256 measured 125.573 us, n2048 2502.366 us, and aggregate 940.247 us."
2026-07-19T12:21:18.751344,30,9,941.952,succeeded,765dde41f606d2c8076635b6cb9de21579d1cd83,"Returned the cached standard n256 launcher to direct monotonic int32 epoch conversion after the bounded scalar ring measured slower, retaining deterministic flags, cached output view, specialized batch, and isolated n2048 state. Validation passed; n256 measured 125.572 us, n2048 2533.498 us, and aggregate 941.952 us under a broadly slower full-grid sample."
2026-07-19T12:21:44.397925,30,N/A,N/A,brief_stop,N/A,"Ten validated combine trials preserved every non-target dispatch and the independent L1-preferred n2048 operator/queue. Best aggregate commit 0b37b0c measured 933.198 us with n256 120.776 us and n2048 2497.654 us; cached-launch commit 8df8918 measured 933.207 us with the lowest n256 sample, 120.641 us. Deterministic zeroed flags, isolated int32 views, cached result metadata, fixed batch launch, and queue-specific standard Numba launcher all passed kernelguard, 17 official tests, six fresh-input guards, and the full grid. Fixed stage tokens and cached epoch rings measured 940.037/940.247 us. Local profiling was waived. Keep going by combining this n256 state with brief29's newer vectorized grouped upper-copy/lower-zero n2048 result, or measure fused first-panel preparation/final-panel cleanup and a formally safe lower-overhead pair-local publication protocol."
