timestamp,agent_id,brief_id,iteration,linalg/qr_py,status,commit,description
2026-06-13T03:49:36.051741,3,,N/A,44709.995,baseline,9c6777cc6109c01fee8f678e6867faf24fe4862a,baseline
2026-06-13T04:01:55.383535,3,0,N/A,N/A,brief_start,N/A,"Bottleneck: compute throughput at large n (shapes 4,5,6: n=1024/2048/4096). FP32 SIMT leaves BF16 tensor cores (~2 PFLOP/s) idle. Implement blocked Householder QR whose panel and trailing updates use BF16/FP16 tensor-core GEMM (WMMA or cublas) with FP32 accumulation, exploiting the loose factor tolerance (20*n*eps32 ~1e-2 at n=4096). Add one FP32 correction sweep if orthogonality fails. Produce valid H/tau."
2026-06-13T04:06:33.685008,3,0,0,139416.802,succeeded,9b638c658a7790fa53e256ada81440f0781ea307,"PyTorch blocked Householder QR (WY block reflectors, BLK=64); validates all 19 shapes FP32; shape3 5.1x faster but geomean 139417us slower overall due to per-column launch overhead at large n"
2026-06-13T04:25:44.447851,3,0,1,N/A,validation_error,4b33db8a09805131943ba6bd3346ee06be6c8d33,Fused CUDA panel kernel (1 block/matrix) + TF32 trailing update; orthogonality perfect but factor residual fails band/rowscale n=512 (scaled 26-28 vs 20); pure-FP32 trailing passes all 19
2026-06-13T04:44:36.844029,3,0,2,54298.374,succeeded,939bed2706cf9a2898e9e01e6b6216c3d3ef1b70,"3xTF32 split trailing update (near-FP32 on tensor cores); passes all 19. Geomean 54298us. Shape3 640x512 8.7x faster, n=176/352/1024 2-2.6x faster; n=2048/4096 5.6x/29x slower (panel kernel 1 block/matrix underutilizes GPU at batch 2/8)"
2026-06-13T04:56:01.764959,3,0,3,26283.646,succeeded,41c7faacd805587972e9c0c9cc781612b8cda201,"Recursive panel: width-64 split to base-16 per-column kernel, inter-half block-reflector applies via 3xTF32 GEMM. Passes all 19. Geomean 26284us = 1.70x vs baseline. n=512 batch640 20.7x, n=1024 4.6x; n=2048 0.53x, n=4096 0.11x (3x better than iter3)"
2026-06-13T05:03:17.965871,3,0,4,32594.623,succeeded,62a8ba9752ab94a795f9f3d8bce5adbb152fdf32,"Cooperative-grid panel kernel for batch<=32 (row-reductions across many blocks, grid.sync between columns). Passes all 19 but grid-sync overhead dominates: geomean 32594us (regression vs iter4 26284). s5 144->257ms, s6 474->571ms. Reverting default to recursive next; base-case kernel efficiency is the better lever"
2026-06-13T05:09:41.778847,3,0,5,20036.124,succeeded,715e95deb21ed834d99a614da942e7b7aff1c8b5,"Optimized base panel kernel: fused trailing-column dot products (one pass, register accumulators), warp-shuffle reductions, fused larft. Coop disabled. Passes all 19. Geomean 20036us = 2.23x vs baseline. All shapes improved: s3 43.2ms, s4 43ms, s5 102ms, s6 305ms"
2026-06-13T05:27:40.990984,3,0,6,18072.851,succeeded,31f5a618a3f6f888a690ac491cca562e1246573a,"Adaptive base width: min(32,n) for n<=256 else 16 (recursion-overhead vs serial-work tradeoff). Added _PREC 1/2/3 modes (2 fails, 3xTF32 default). Passes all 19. Geomean 18073us = 2.47x vs baseline; s0 327 s1 3437 (small shapes much better), large unchanged"
2026-06-13T05:29:33.495030,3,0,7,13473.896,succeeded,dc1ee858e46c4b45e422bae8de53287449c11f3d,torch.geqrf fallback for batch<32 & n>1024 (cuSOLVER beats our panel there). s5 102->77ms s6 306->54ms (both =baseline floor). Custom keeps s0-s4. Passes all 19. Geomean 13474us = 3.32x vs baseline
2026-06-13T05:40:34.564154,3,0,8,12551.240,succeeded,5ac8cd42b08dd43ba174744106e442d72426613e,"Shared-memory base panel kernel: caches whole base panel in smem (opt-in ~160KB), all columns in shared, write back once. Eliminates global re-reads (was 47% of s3). Passes all 19. s3 43.3->35.9ms (29.9x baseline), s4 43.5->37.8ms (6.4x). Geomean 12551us = 3.56x vs baseline"
2026-06-13T05:44:10.360040,3,0,9,12189.380,succeeded,9f42b3dcbed914ae6d943322a25fea70fa9ddbad,"Cut torch overhead: reuse V TF32-split across both products + recursion; subtract trailing update in-place on strided H view (no copy-back). Passes all 19. s3 35.9->33.8ms, s4 37.8->36.0ms. Geomean 12189us = 3.67x vs baseline"
2026-06-13T06:00:23.702183,3,0,10,12168.808,succeeded,ab7fa23876360ca60fa65c60c756405cf0683dba,Tried direct full-width smem panel for batch>=256 (no recursion): regression s3 33.8->83.8ms (1 block/SM + serial 64-col chain loses to recursion's parallel GEMM). Reverted; fixed smem-size bug. Back to 12169us. Lesson: recursion+tensor-core GEMM beats wide serial panel at all batch sizes
