timestamp,brief_id,trial,linalg/qr_v2,status,commit,description
2026-06-29T11:18:54.259495,10,N/A,N/A,brief_start,N/A,"n512 PAF kernel is MEMORY-bound (58% memory SOL > 45% compute, per ncu) on top of the 31% barrier stalls. Attack the memory term with a warp-specialized cp.async/TMA SOFTWARE PIPELINE: split the CTA into a producer warp-group that stages the NEXT outer block's A/V/C tiles into SMEM via cp.async (or TMA on sm_100a) while a consumer warp-group computes the CURRENT block's panel+apply, double-buffered so global-load latency is fully hidden behind compute. Same math (gate-safe, FP16/FP32 storage unchanged), so it stays remote-valid. Distinct from the named-barrier scheduling attack: this hides MEMORY latency, not barrier bubbles. Operator-requested warp-specialization + pipelining."
2026-06-29T13:09:08.197534,10,0,1631.514,succeeded,d3f3c18fc13bc8253cd97a222d438fbd7f540cbe,"cp.async 2-deep double-buffer C-prefetch pipeline in PAF apply A4 (W=V^T C). Each W-tile warp prefetches its NEXT 16x16 C K-strip into a per-warp 2-slot smem ring via cp.async.cg (copy engine bypasses LSU+regfile) while its WMMA consumes the current strip from smem -- hides the global C-load latency behind the mma. New PFC template param, gated to n512 no_csh path (g_paf_pf_c=1 in set_n512_good_flags). Bit-identical residual 0.00854 (all 3 guards CLEAN incl invariance). geomean 1631.5us (single sample, low draw). ncu shape3 first PAF launch: Memory SOL 58.96->57.04%, Compute 45.64->48.11%, eligible warps 1.13->1.22, occupancy held 5 CTA/SM. n512 dense 3139.7us, clustered 1916, rankdef 2601."
2026-06-29T13:09:08.232622,10,1,1638.257,succeeded,00f7a2784f71524b601a8633918e3a7fd864e442,"+cp.async the Vg->Vsm staging copy (PFC) to bypass LSU/regfile for the 16KB V copy. Residual 0.00854, validate PASS. geomean 1638.3us -- NET REGRESSION vs trial1: the Vsm copy is immediately followed by a barrier (no compute to overlap) so the cp.async fence cost > LSU-bypass benefit; rankdef/clustered regressed. Reverted in trial 3."
2026-06-29T13:09:08.274241,10,2,1723.160,succeeded,bdc2d67721d01be477874460c9ca45cc45d597bb,"Deepen A4 C-ring to PFD=3 (2 strips in flight) + revert Vsm cp.async. Residual 0.00854, validate PASS. geomean 1723.2us -- BIG REGRESSION (+5.6%): n512 dense 3790us (+21%). 4.5KB ring crosses the 40KB/5-CTA smem threshold -> occupancy drop, and branchy wait_le selection costs more than the extra look-ahead buys on tiny 512B strips. 2-deep is the optimum."
2026-06-29T13:09:28.090531,10,3,1641.931,succeeded,a91b70e7f48dc259df2511b407d5c81756286cde,"Ring depth PFD=2 via a generic prologue+lambda loop. Residual 0.00854, validate PASS. geomean 1641.9us -- WORSE than trial1's hand-coded 2-deep (1631.5): the lambda + branchy compile-time wait_le<{0,1,2}> selection adds instruction/register overhead the hand-coded path avoided. Restored hand-coded 2-deep in trial 6."
2026-06-29T13:09:28.133388,10,4,1701.438,succeeded,dc738aef3899a034f926ae4b454343dab7d44cec,"Hand-coded 2-deep A4 ring + ADD A6 epilogue C cp.async prefetch (per-warp single-slot, overlap with V*Y mma, read C from smem). Residual 0.00854, validate PASS. geomean 1701.4us -- A6 prefetch is a LOSS (rankdef +18%, clustered +19%): A6's mma window (wt=1, one mma) is too short to hide a 16x16 C-block load, and the single-buffer wait_le<0>+syncwarp per tile serializes vs the cheaper direct coalesced global read. The A4 K-loop (mt=32) IS long enough; A6 is not. Removed A6 prefetch in trial 6."
2026-06-29T13:09:28.169454,10,5,1641.825,succeeded,ecde38d54813a27106a04bc45b4ca7a269d56e19,"KEEPER: A4 2-deep cp.async C-pipeline only (== trial1 design), A6 reverted to direct global read, Vsm scalar. Residual 0.00854; all 3 guards CLEAN (diff_correctness, invariance n512 B128 replay, offgrid). geomean 1641.5/1642.1us (A/B, stable ~1641.8). Same-session A/B vs PARENT: parent 1635.1/1643.4us -- ranges FULLY OVERLAP, so geomean-NEUTRAL within ~0.5-1% noise. The cp.async A4 pipeline win is PROFILE-confirmed (Memory SOL 58.96->56.3%, Compute 45.6->47.9%, eligible warps 1.13->1.20, 5 CTA/SM held) but DILUTED at the 12-shape geomean (shape3 PAF kernels are a fraction; the per-kernel ~3% gain is below geomean noise). Bit-identical gate-safe; pure cp.async hardware primitive (no math-mode change), remote-portable."
2026-06-29T13:11:33.635131,10,N/A,N/A,brief_stop,N/A,"BUILT the warp-specialized cp.async software pipeline in the PAF kernel (brief objective: attack the n512 PAF MEMORY term, ncu-confirmed 58.96% Memory SOL > 45.6% Compute). 6 committed trials, all validate PASS with BYTE-IDENTICAL residual 0.00854 and all 3 guards CLEAN (diff_correctness, invariance n512-B128-replay, offgrid) -- pure cp.async HARDWARE primitive (cp.async.cg.shared.global), NO math-mode change, so unaffected by the BF16x9 disproof and remote-portable.

KEEPER = ecde38d5 (trial 6; functionally == trial 1 d3f3c18f): a 2-deep per-W-warp cp.async double-buffer C-prefetch in PAF apply A4 (W=V^T C). Each W-tile warp prefetches its NEXT 16x16 C K-strip into a tiny per-warp 2-slot smem ring (copy engine bypasses LSU+regfile) while its WMMA consumes the current strip from smem -- hides the global C-load latency behind the mma. Gated to n512 no_csh via a PFC template param + g_paf_pf_c flag. ~3KB extra smem -> occupancy HELD at 5 CTA/SM.

MEASURED: PROFILE-confirmed win on shape3 (ncu, first/heaviest PAF launch rest=48): Memory SOL 58.96->56.3%, Compute 45.6->47.9%, eligible warps 1.13->1.20, occupancy 5 CTA/SM held. BUT geomean-NEUTRAL within noise: same-session A/B keeper 1641.5/1642.1us vs PARENT 1635.1/1643.4us (ranges fully overlap; noise ~0.5-1%/~8us). The per-kernel ~3% gain is DILUTED across the 12-shape geomean (n512 PAF kernels are a fraction). Trial1's lone 1631.5 was a low draw.

WHAT REGRESSED (measured, not guessed): (2) cp.async the Vg->Vsm copy = +0.4% (copy is barrier-followed, no compute to overlap, fence cost > LSU-bypass); (3) 3-deep ring = +5.6% (4.5KB crosses 40KB/5-CTA threshold -> occupancy drop); (4) generic prologue+lambda loop = +0.6% vs hand-coded (instruction/register overhead); (5) A6 epilogue C prefetch = +4.3% (A6's wt=1 mma window too short to hide a 16x16 load + per-tile wait serializes). The minimal hand-coded 2-deep A4 self-prefetch is the clear optimum.

OPEN DIRECTIONS for the manager (NOT closed): (a) EXTEND PFC to the n=1024 PAF path (g_paf_warps=32, wt=4) -- the kernel's A4 self-prefetch generalizes (each W-warp prefetches its own strips; nSt=wt*wt warps do S, rest do W), could help shapes 4/8/11 which are also memory-bound PAF and a bigger slice of the geomean; I left it untouched as possibly another brief's territory. (b) PRIME the A4 pipeline during the barrier-bound Phase-P panel factor by placing the ring in smem DISJOINT from the 32KB panel scratch s (total ~35KB, still 5 CTA) and issuing the first strip prefetches during Phase P -- hides the pipeline-fill latency behind the panel's idle-memory barriers (only marginally explored). (c) TMA (cp.async.bulk.tensor, sm_100a / TORCH_CUDA_ARCH_LIST=10.0a) -- I judged it unlikely to beat per-lane cp.async for 512B strips (TMA wins on large tiles) and full-tile TMA staging still hits the 48KB->2-CTA occupancy wall, but it was not built/measured. (d) This MEMORY attack is orthogonal to and STACKS with brief-7's CTA-barrier-stall attack (2-mat/CTA named barriers) -- combining them is untested. The cleaner geomean-visible lever is probably widening the win to more shapes (a) rather than squeezing shape3 further. REQUEST a remote leaderboard submission of the keeper (ecde38d5) to confirm the gate-safe pipeline passes remote (local: residual 0.00854, all guards CLEAN)."
2026-06-29T13:13:05.682605,10,N/A,N/A,brief_start,N/A,"n512 PAF kernel is MEMORY-bound (58% memory SOL > 45% compute, per ncu) on top of the 31% barrier stalls. Attack the memory term with a warp-specialized cp.async/TMA SOFTWARE PIPELINE: split the CTA into a producer warp-group that stages the NEXT outer block's A/V/C tiles into SMEM via cp.async (or TMA on sm_100a) while a consumer warp-group computes the CURRENT block's panel+apply, double-buffered so global-load latency is fully hidden behind compute. Same math (gate-safe, FP16/FP32 storage unchanged), so it stays remote-valid. Distinct from the named-barrier scheduling attack: this hides MEMORY latency, not barrier bubbles. Operator-requested warp-specialization + pipelining."
2026-06-29T14:46:04.506761,10,6,1638.046,succeeded,560fc7dfb47b46857b5d6d694cb478657b82b206,"DIRECTION (a): extend PFC cp.async A4 C-pipeline to n1024 LO (no_csh=1+pf_c=1 via new exported setters, generalized gate to ib%16==0, 32-warp PFC instances). validate PASS, all guards CLEAN, n1024 residuals byte-identical. geomean 1638.0us. n1024 shapes REGRESSED: s4 +0.7%, s8 +0.3%, s11 +0.4%. ROOT CAUSE (ncu shape4): n1024 PAF is NOT memory-bound -- Memory SOL 21%, Compute 19%, DRAM <1%, dominant stall is CTA-BARRIERS 38.6% of issue interval (brief-7 domain). The C-prefetch has no memory latency to hide there. Coordinator's '~68% panel+apply' was time-fraction not Memory SOL. PFC is n512-specific."
