branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-0,5,7632,1.89,3,4038,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-1,2,2800,1.29,1,2800,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-11,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-2,2,679,5.30,1,679,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-4,4,5273,2.05,3,3263,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-5,3,1863,3.87,1,1430,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-6,5,1993,7.23,2,795,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-7,6,11918,1.51,5,3719,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-0,4,4787,2.26,3,2742,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-1,4,4299,2.51,3,1780,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-11,2,1286,2.80,1,1286,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-12,2,4656,0.77,1,4656,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-2,2,1157,3.11,1,1157,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-9,2,3435,1.05,1,3435,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-0,3,2021,3.56,1,1553,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-1,2,835,4.31,1,835,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-10,2,608,5.92,1,608,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-11,6,3708,4.85,3,1089,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-12,10,5821,5.57,4,1693,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-13,5,2744,5.25,3,785,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-15,3,1333,5.40,2,701,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-17,2,382,9.41,0,382,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-18,2,540,6.67,0,540,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-19,3,1445,4.98,1,941,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-8,2,3140,1.15,1,3140,+0.00
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-9,0,0,0.00,0,0,+0.00
