branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-07-03-05-14-36/brief-0,3305,0,0,0,,951571,114632,74065920,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-1,6861,0,0,0,,1346213,145199,136302336,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-10,3817,0,0,0,,1160559,117027,135801088,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-11,1406,0,0,0,,993140,98246,92456192,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-2,10061,0,0,0,,1732277,213508,201844736,0,2,
autocuda/optimize/2026-07-03-05-14-36/brief-3,7540,0,0,0,,1489667,164967,133853184,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-4,6785,0,0,0,,1317919,121319,143091968,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-5,6633,0,0,0,,1492804,154330,149009664,0,2,
autocuda/optimize/2026-07-03-05-14-36/brief-6,5265,0,0,0,,1294028,152697,130162944,0,2,
autocuda/optimize/2026-07-03-05-14-36/brief-7,0,0,0,0,,677552,50154,64136192,0,1,
autocuda/optimize/2026-07-03-05-14-36/brief-8,4858,0,0,0,,1404627,159872,145466880,0,2,
autocuda/optimize/2026-07-03-05-14-36/brief-9,3117,0,0,0,,1129066,114826,122301184,0,1,
steered/manager,24271,0,0,0,,803368,63236,91535616,0,1,
steered/dashboard,62,0,8,0,Bash=8,23717,13993,650991,188144,0,
