timestamp,brief_id,parent_commits,brief_kind,description
2026-07-03T13:47:33.787161,0,08291948124036edc19e0409887fa3fe8765a229,macro,"Replace the per-matrix tridiagonal path with a cached custom extension around CUDA batched symmetric eigensolvers: prioritize portable cusolverDnSsyevjBatched, explore dynamically gated XsyevBatched, and dispatch by size while tuning Jacobi sweeps, tolerance, sorting, workspace reuse, and row/column-major output views."
2026-07-03T13:47:38.394589,1,08291948124036edc19e0409887fa3fe8765a229,macro,"Implement a fully batched blocked two-sided Jacobi eigensolver that replaces Householder GEMV/SYMV traffic with chess-tournament tile pairs, using Blackwell shared-memory or cluster residency and tcgen05-backed TF32/BF16 matrix updates while accumulating and refining FP32 orthogonal eigenvectors."
2026-07-03T13:47:42.737402,2,08291948124036edc19e0409887fa3fe8765a229,macro,"Build a QDWH spectral divide-and-conquer eigensolver: use polar-sign iterations and tensor-core-friendly GEMM/QR to split invariant subspaces recursively, then recover sorted eigenpairs with FP32 Rayleigh quotients and orthogonality refinement, replacing the profiled latency-bound tridiagonal reduction and divide-and-conquer kernels."
2026-07-03T17:28:46.783984,3,d05f2986e90d36c86cf2f7ee1da31250604eeb60,macro,"Exploit rank-deficient and near-rank-deficient benchmark matrices with a structure-gated randomized subspace eigensolver: classify each matrix cheaply, build the active invariant range with batched tensor-core subspace iteration and QR, solve reduced problems, complete orthonormal nullspaces, and dispatch dense or mixed failures to the accepted portable Xsyev path."
2026-07-03T17:34:25.251831,4,d05f2986e90d36c86cf2f7ee1da31250604eeb60,macro,"Replace Xsyev profiler-dominant SYMV/GEMV Householder work with a batched two-stage symmetric reduction: blocked tensor-core dense-to-band updates, a fused band-to-tridiagonal kernel, batched tridiagonal eigensolves, and reflector backtransforms, retaining the accepted portable solver dispatch for unimplemented sizes."
2026-07-03T19:28:47.118033,5,d05f2986e90d36c86cf2f7ee1da31250604eeb60,macro,"Replace symmetric EVD with a batched one-sided Jacobi SVD path; recover signed eigenvalues using FP32 Rayleigh quotients, detect and re-diagonalize equal-absolute-value subspaces, sort eigenpairs, and dispatch unsupported sizes or degenerate matrices to the accepted portable Xsyev solver."
2026-07-03T20:06:06.891528,6,d05f2986e90d36c86cf2f7ee1da31250604eeb60,macro,"Build a full-spectrum tensor-core divide-and-conquer solver for dense batched matrices: recursively form Chebyshev or Newton-Schulz spectral projectors around adaptive shifts, extract orthogonal subspaces with batched QR, solve small leaves, recover ordered eigenpairs, and retain the portable Xsyev fallback when convergence or residual checks fail."
2026-07-03T20:12:27.711292,7,7721acfa3092f2ce6d2f6fcf099cc7b68e60cf32,micro,"Micro-tune the validated custom n=176 path from its final profile: reduce synchronization and shared-memory traffic in the 0.725 ms Householder kernel, improve occupancy or lane utilization in the 0.497 ms Sturm/inverse-iteration backtransform, and preserve all residual and portability guards."
2026-07-03T22:32:04.942231,8,fd205cd6de1de7d42e102c655580ec01ff31a748,macro,"Replace the n=32 cuSOLVER Jacobi dispatch with a device-resident small-matrix eigensolver: prioritize cuSolverDx when available, otherwise build a one-CTA warp-synchronous Householder-to-tridiagonal or cyclic-Jacobi kernel that fuses eigenvector accumulation, ordering, and output layout, with a residual-certified fallback while preserving the accepted guarded n=176 path."
2026-07-03T22:53:17.081504,9,481a7600db68aaec30dc7fc6e159edd88a19d2ad;fd205cd6de1de7d42e102c655580ec01ff31a748,combine,"Combine the fastest tiled n=352 solver with the remotely accepted guarded n=176 implementation: preserve each size-specialized kernel, reconcile shared extension and dispatch code, add residual and orthogonality certification with selective portable Xsyev fallback for both custom sizes, and stress diverse n=176/n=352 spectra before profiling the integrated path."
