timestamp,brief_id,trial,linalg/eigh_py,status,commit,description
2026-07-05T16:14:02.256157,74,N/A,N/A,brief_start,N/A,"Combine the scored resident-reducer terminal with the guard-admissible isolated non-owner cuSOLVER fallback: retain the synchronization-free main-thread optimized route, transplant CTA-local publication/raw-dot/eight-lane correction, reconcile handle and workspace state, rerun four-caller batch-1/batch-2 stress plus every poisoned/compatibility/strict mode, and profile single-owner overhead and reducer timing."
2026-07-05T16:19:39.668158,74,0,22703.018,succeeded,c7b8427fa0c31d4c9d58623c66e8d6f290aa2c85,"Combined 539aed98 resident reducer with 72352031 deterministic main-thread ownership and per-call isolated default-math cuSOLVER fallback. Kernelguard clean, official validation 39/39; metric 22703.018299 us, n2048 71588.554 us. Exact-SHA Nsys reducer 61.173861 ms/call and owner trace contains stream synchronization only, no device-wide completion."
2026-07-05T16:25:43.168616,74,1,23036.072,succeeded,e6d9e315c1df64deeb0d91c0832715b6d5dc671a,"Forced BF16x9 poisoned-handle probe on combined resident-reducer and isolated-fallback source. Candidate handle was destroyed and recreated in default math; isolated n2048 fallback remained independent. Kernelguard clean, validation 39/39; metric 23036.072298 us, n2048 71589.211 us."
2026-07-05T16:28:36.042428,74,2,23029.013,succeeded,65df94f268efee297df8eeea3bd84524e0ecbe7d,"Forced BF16x9 special-values status failure on combined source. Failed candidate was quarantined, clean default-math handle and isolated n2048 fallback remained independent. Kernelguard clean, validation 39/39; metric 23029.013112 us, n2048 71673.977 us."
2026-07-05T16:31:42.446683,74,3,23037.166,succeeded,a8bc42334e3da9650a56be7ea250d21e666fb16f,"Forced BF16x9 capability unavailable on combined source. Candidate handle was quarantined, clean default-math WY and independent isolated n2048 fallback passed. Kernelguard clean, validation 39/39; metric 23037.165999 us, n2048 71648.298 us."
2026-07-05T16:35:39.506900,74,4,22852.068,succeeded,45b1ac0fef322846dc49d5f7a287a90fe03fbed7,"Forced old-header/dlsym BF16x9 compatibility probing on combined source. Runtime lookup retained BF16x9 WY and isolated grouped repair; independent n2048 fallback remained default math. Kernelguard clean, validation 39/39; metric 22852.068174 us, n512 51771.039 us, n2048 71726.837 us."
2026-07-05T16:40:01.116220,74,5,23047.768,succeeded,dfa749d1b21737f4b1f39664993a84af16f0edb1,"Compiled EIGH_DISABLE_BF16X9 on combined source. Strict ATen WY, isolated explicit-TF32 grouped repair, optimized resident n2048 owner route and per-call default-math fallback passed Kernelguard and validation 39/39; metric 23047.767637 us, n2048 71632.955 us. Exact-SHA n512 profile captured."
2026-07-05T16:43:36.451575,74,6,23011.920,succeeded,b5bc10487ab42d37a7b0b2dbcc935896f1561e9e,"Compiled EIGH_DISABLE_BF16X9 plus EIGH_DISABLE_GROUPED_REPAIR on combined source. Complete strict ATen WY/repair fallback, optimized resident owner route and isolated default-math non-owner fallback passed Kernelguard and validation 39/39; metric 23011.919959 us, n2048 71611.509 us."
2026-07-05T16:56:59.768175,74,7,22681.456,succeeded,35bfe806d3e9d6a1876c1129899cc02a7f00f312,"Restored production flags and tightened n2048 certificate from 70% to 45% of public residual limits after remote replay evidence. Borderline mixed seed moved from scaled orthogonality 49.7 to exact-fallback 0.273 while dense/band stayed optimized. Kernelguard clean, validation 39/39; metric 22681.455572 us, n2048 71539.476 us. Exact-SHA reducer 61.193121 ms/call, owner trace has no device-wide completion, and final four-caller batch-1/batch-2 stress passed."
2026-07-05T16:59:13.463344,74,8,22680.732,succeeded,35bfe806d3e9d6a1876c1129899cc02a7f00f312,"Quiet exact-SHA terminal replay after robustness and concurrency certification: metric 22680.732140 us versus preceding 22681.455572, n2048 71545.570 us versus 71539.476 us. Reuses clean 35bfe806d source, 39/39 validation, final batch-1/batch-2 four-caller stress and terminal profiles."
2026-07-05T16:59:27.617383,74,N/A,N/A,brief_stop,N/A,"Terminal 35bfe806d3e9d6a1876c1129899cc02a7f00f312 combines 539aed98 CTA-local publication/full raw-dot overlap/eight-lane n2048 correction with 72352031 deterministic main-thread ownership and per-call isolated default-math cuSOLVER state. Production is Kernelguard-clean, 39/39, and replayed at 22681.455572 then 22680.732140 us; n2048 was 71539.476 then 71545.570 us. Exact-SHA Nsys shows reducer 61.193121 ms/call (85.8%), custom WY 0.124 ms/launch, and no cudaDeviceSynchronize on the owner route. Three four-caller batch-1 rounds plus batch-2 passed on the initial combine; final strengthened SHA reran four callers at batch 1 and 2 successfully. Twenty-seven optimized owner-route calls across dense/mixed/spectrum/PSD/rankdef/repeated/clustered/band/rowscale passed with clean final certificates; maxima before tightening were scaled eigen 19.1, reconstruction 14.8, orthogonality 49.7. In response to parent 539 remote replay 857951 failing ranked validation after earlier 857901 acceptance, terminal lowers only n2048 internal limits from 70% to 45% of public limits: the borderline mixed seed routes to exact cuSOLVER and moves orthogonality 49.7 to 0.273, while dense/band remain optimized and benchmark timing is unchanged. Poisoned, status-failure, unavailable, old-header/dlsym, BF16x9-disabled, and BF16x9-plus-grouped-disabled modes all built and passed 39/39 at 23036.072298, 23029.013112, 23037.165999, 22852.068174, 23047.767637, and 23011.919959 us; strict n512 profile retained expected SIMT fallback. No leaderboard submission was made. Keep work moving with a manager submission of this exact strengthened SHA, repeated remote validation given conflicting parent evidence, a per-thread isolated cuSOLVER cache to measure non-owner setup overhead, an all-C++ ownership dispatcher that can grant the optimized route beyond Python main without forbidden execution APIs, or further structural reduction of the still-dominant 61.193 ms resident reducer."
