branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-07-03-05-14-36/brief-0,15,3305,15.25,0,599,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-1,37,6861,18.89,0,596,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-10,15,3817,13.20,1,654,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-11,5,1406,10.24,0,483,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-2,38,10061,13.24,4,1439,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-3,20,7540,9.07,4,1554,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-4,31,6785,15.92,1,648,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-5,31,6633,16.28,0,500,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-6,26,5265,17.10,1,723,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-8,21,4858,14.82,1,704,+0.00
autocuda/optimize/2026-07-03-05-14-36/brief-9,15,3117,16.17,0,483,+0.00
