timestamp,brief_id,trial,linalg/cholesky_py,status,commit,description
2026-07-19T04:23:33.962666,12,N/A,N/A,brief_start,N/A,"Explore advanced cuSOLVER Xpotrf parameters, algorithm variants, workspace persistence, and shape-specific direct schedules for n=256 through 4096 and low/high batches. Preserve the validated n=32/64/128 custom kernels and existing mixed large-shape fallback; benchmark crossovers systematically and pursue only measured improvements."
2026-07-19T04:29:22.986388,12,0,1291.615,succeeded,e14b7cf6a3f20a252624b44067e8b2f8c98d715d,"Replace looped classic Spotrf for batch<=4,n>=1024 with generic Xpotrf ALG_0 while retaining BF16x9 math mode; cache the params object and shape-scoped device/host byte workspaces. Validation and fresh-seed guards passed. Full-grid geomean measured 1291.615 us; looped cells measured 1224.754 us at batch=4,n=1024, 1252.086 us at batch=2,n=2048, and 1429.894/2870.094 us at n=4096."
2026-07-19T04:32:57.889603,12,1,1298.516,succeeded,1e7f4ac4df8906f67c1bc618a25bfbfebbdfa0be,"Extend persistent looped Xpotrf from batch<=4 to batch=8 at n=2048. Validation and guards passed. The batch=8,n=2048 cell rose from 4719.259 us with potrfBatched to 5074.638 us with eight Xpotrf calls; full geomean rose from 1291.615 to 1298.516 us."
2026-07-19T04:36:06.730552,12,2,1292.007,succeeded,b1162c4bfb3bc1212658efe06208d46b153fff03,"Restore potrfBatched at batch=8,n=2048 and request CUSOLVER_ALLOW_NON_DETERMINISTIC_RESULTS for both direct execution and Xpotrf workspace queries. Validation and guards passed. Full geomean measured 1292.007 us versus 1291.615 us in deterministic-default mode, with direct cells within run noise."
2026-07-19T04:40:25.039274,12,3,1679.890,succeeded,43e96d6bdce01d70b6e54db1ee2a3711f60acbb0,"Select CUSOLVER_ALG_1 for persistent Xpotrf while retaining potrfBatched elsewhere and non-deterministic handle mode. Validation and guards passed, but the alternate algorithm raised batch=4,n=1024 from 1225.326 to 3024.125 us, batch=2,n=2048 to 3402.847 us, and n=4096 to 3891.740/7792.724 us; full geomean measured 1679.890 us."
2026-07-19T04:43:14.699807,12,4,1292.037,succeeded,34fcec286f1786cd5f823219d5c5c874deaa041d,"Select CUSOLVER_ALG_2 for persistent Xpotrf. Validation and fresh-seed guards passed with the same residual profile as ALG_0. Full geomean measured 1292.037 us, essentially matching ALG_0/non-deterministic samples; looped cells were 1226.621, 1253.745, and 1431.382/2871.323 us."
2026-07-19T04:47:00.438135,12,5,1420.566,succeeded,eaa665ec2f461efe58c6914bdb3f997aa30aa3dc,"Restore Xpotrf ALG_0 and deterministic-default mode, then extend looped Xpotrf to batch<=16,n=512 while retaining batched factorization for batch=640. Validation and guards passed. The batch=16,n=512 cell rose from about 576 us on potrfBatched to 2411.112 us; full geomean measured 1420.566 us."
2026-07-19T04:50:32.920883,12,6,1297.326,succeeded,e541bf2b6863227ad4e0ce852590bdd300df0ed5,"Restore potrfBatched at n=512 and move the looped-Xpotrf cutoff from n>=1024 to n>=2048, measuring potrfBatched for both the low- and high-batch n=1024 cases. Validation and guards passed. Batch=4,n=1024 rose from about 1224 us on Xpotrf to 1265.622 us on potrfBatched; full geomean measured 1297.326 us."
2026-07-19T04:54:37.216572,12,7,1378.027,succeeded,5e0b807d8c516c75b41c06648e4d76259aaeb1f0,"Keep looped Xpotrf at n=1024 and n>=4096 but route n=2048 through potrfBatched to isolate that crossover. Validation and guards passed. Batch=2,n=2048 rose from about 1252 us with two Xpotrf calls to 3173.400 us with potrfBatched; full geomean measured 1378.027 us."
2026-07-19T04:58:00.914712,12,8,1624.160,succeeded,e826189b16212557003a5e406235a7d024167908,Restore looped Xpotrf for n=1024/2048 but route n=4096 through potrfBatched to isolate the largest direct crossover. Validation and guards passed. The n=4096 batch=1/2 cells rose from about 1430/2870 us on Xpotrf to 10242.443/11741.652 us on potrfBatched; full geomean measured 1624.160 us.
2026-07-19T05:01:34.028277,12,9,1297.935,succeeded,61f56391c555528ebcede293f79c1d2caf2fd8ce,"Restore looped Xpotrf for every batch<=4,n>=1024 direct shape and replace BF16x9 emulated FP32 with CUSOLVER_DEFAULT_MATH for workspace query and execution. Validation and guards passed. Full geomean measured 1297.935 us versus 1291.615 us with BF16x9; high-batch direct cells included 587.062 us at n=512 and 4955.134 us at n=2048."
2026-07-19T05:07:12.478570,12,10,1293.718,succeeded,eda036302b4ef67323d48c6eccb4eb251c877aa5,"Restore BF16x9 and allocate both persistent generic and classic workspaces, using Xpotrf for batch=1 but looped classic Spotrf for batch=2/4. Validation and guards passed. Full geomean measured 1293.718 us versus 1291.615 us with Xpotrf throughout; classic cells measured 1231.350 us at batch=4,n=1024, 1256.560 us at batch=2,n=2048, and 2874.425 us at batch=2,n=4096."
