branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-0,2505,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-1,3183,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-10,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-11,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-12,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-13,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-14,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-15,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-16,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-17,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-18,619,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-19,1584,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-2,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-20,961,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-21,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-22,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-23,562,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-24,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-25,1265,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-26,1152,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-27,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-28,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-3,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-30,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-31,788,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-32,1438,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-33,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-34,478,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-35,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-36,565,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-37,711,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-38,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-39,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-4,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-40,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-41,933,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-42,1044,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-43,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-44,577,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-45,0,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-46,1936,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-47,1052,,,,,,,,,,
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-48,2399,,,,,,,,,,
