branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-07-06-18-24-02/brief-0,15656,73,4029,157,write_stdin=1637|wait=1635|exec_command=840|apply_patch=103|web__run=33|send_message=7|view_image=4,6443025,562354,770138624,0,7,
autocuda/optimize/2026-07-06-18-24-02/brief-1,52604,62,4095,148,wait=1810|write_stdin=1656|exec_command=684|apply_patch=102|web__run=32|update_plan=10|send_message=9|list_agents=1|view_image=1,5675882,528510,820017152,0,6,
autocuda/optimize/2026-07-06-18-24-02/brief-10,1109,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-11,4354,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-12,3022,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-13,2945,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-14,1794,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-15,2388,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-16,0,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-17,0,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-2,21394,61,3856,145,wait=1752|write_stdin=1500|exec_command=604|apply_patch=93|send_message=64|web__run=39|update_plan=7|spawn_agent=2|list_agents=1,5101926,487852,786998016,0,5,
autocuda/optimize/2026-07-06-18-24-02/brief-3,18633,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-4,8325,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-5,11027,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-6,6060,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-7,8540,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-8,6485,,,,,,,,,,
autocuda/optimize/2026-07-06-18-24-02/brief-9,5447,,,,,,,,,,
steered/manager,67198,2,1737,4,wait_agent=1544|exec_command=89|list_agents=32|followup_task=21|wait=17|write_stdin=16|send_message=9|spawn_agent=5|web__run=5|update_plan=3|apply_patch=2,2074107,125192,283644160,0,1,
steered/baseline_archaeology,209,0,22,0,exec_command=19|web__run=2|send_message=1,211286,13794,2367488,0,0,
