timestamp,brief_id,trial,linalg/qr_v2,status,commit,description
2026-06-29T12:10:28.335099,13,N/A,N/A,brief_start,N/A,"Run-wide finding: the serial Householder PANEL is the universal bottleneck at every shape (trailing already optimal); the ONLY lever against it is an algorithm swap. CholeskyQR is dead for big/ill-cond (cond^2 wall + orhr_col recon tax), but the SMALL WELL-CONDITIONED shapes s1 n176 (B40, cond1) and s2 n352 (B40, cond1) are its sweet spot: small cond(A) so cond^2 fits FP32, and the orhr_col recon is cheap at small n. Replace the n176/n352 panel with batched CholeskyQR2 (G=A^T A via batched GEMM filling all SMs, batched FP32 potrf, Q=A R^-1, repeat once, then orhr_col reconstruct compact (H,tau)). Guard ill-cond inputs to the safe Householder path. Stock-only ops (no BF16x9). The bold algorithmic swing at the proven bottleneck where CholeskyQR's objections are weakest."
2026-06-29T12:25:51.852628,13,0,N/A,validation_error,7a3f8e6bc94b2fd064fd679bfdd3a0f32ae6f292,"Batched CholeskyQR2 for n176/n352 (cond=1 well-cond): G=A^T A batched GEMM -> batched FP32 cholesky_ex upper -> Q=A R^-1 batched solve_triangular, repeated once (R=R2 R1), then orhr_col recon (_reconstruct_householder) + per-matrix good-gate geqrf fallback. Replaces qr_mega_resident (n176, 100% serial panel) and panel_factor_smem_wsp_cmf (n352, ~65% panel). VALIDATION FAIL: n176 orth scaled=402 (gate 100), n352 orth scaled=327; the orhr_col recon's tau drifts so householder_product(H,tau) is not quite orthonormal (overshoots orth gate ~4x). Factor residuals fine. Fix = tau-override (recompute tau from reconstructed V) in trial 2."
2026-06-29T12:39:51.309299,13,1,2230.854,succeeded,e9925f73a96dea8bc57cc995a757b1cae90a6203,"CholeskyQR2 + tau-override VALIDATES (n176 orth 0.538, n352 orth 0.493; factor n176=3.12/n352=1.99, gate 100/20). But geomean REGRESSED 1646->2231: s1 n176 252->1511us (6x), s2 n352 599->4087us (6.8x). The CholeskyQR2 core (G=A^T A, batched potrf, A R^-1) fills SMs but the orhr_col recon (recon_lu_cpp+build_H, a 2nd serial blocked LU) dominates at small n -- same structural floor brief-0 found at n512. Factor-residual margins comfortable (6.4x/10x). Need profile to confirm recon is the cost; directions: cheaper/batched recon, or skip recon (return Q,R differently)."
2026-06-29T13:03:11.995823,13,2,2233.544,succeeded,0e9ce480864bed20183b9efdb6233db85b0bced2,"DIAGNOSTIC (fallback toggled off to attribute the profile's geqr2=24%): force-disabling the geqrf bad-row fallback FAILS the benchmark recheck 'H contains NaN or Inf' on s1/s2. So the cond^2 wall DOES bite at cond=1: a small fraction of random-Gaussian draws have cond(A)^2 over the FP32 floor -> cholesky_ex info!=0 -> NaN. The 24% geqr2 in the profile is the fallback firing on genuinely-failing matrices (mandatory). Restored fallback=1; geomean back to ~2233. trial-3 profile floor (n176 1488us): geqr2 24%, batched potrf ~28% (cuSOLVER spawns 11 kernels at B40), TRSM 12.6%, orhr_col recon ~14%, GEMM ~6%. Even free fallback leaves ~1130us >> baseline 252us (the megakernel is ONE fused launch; CholeskyQR2 is ~30 library launches). Levers: FP64 Gram to kill fallback, custom fused batched potrf, CUDA-graph the path, cheaper recon."
2026-06-29T13:11:19.069199,13,3,2165.462,succeeded,715a5c9e8992b31441defd43877428c8600b0f01,"FP64 Gram+Cholesky (cast R to FP32 for the solve+recon). Resolves cond(G)~cond(A)^2 fully so info!=0 (and the slow geqrf fallback) fires only on genuinely singular matrices, not on cond=1 draws over the FP32 floor. Geomean 2234->2165: s1 1488->1270us, s2 4049->3143us (fallback subset shrank). Validation PASSES (factor n176=3.11/n352=1.99, orth 0.6/0.48). Still 5x baseline (252/599). Need profile to see post-FP64 breakdown -- cuSOLVER batched potrf (11 kernels at B40), TRSM, orhr_col recon, and the remaining fallback are the suspects."
2026-06-29T13:18:47.772795,13,4,2204.733,succeeded,ef50048a8b5309712b22dcbc04d7e562bf4947ac,"FP32 Gram + fast megakernel(qr_mega_small)-fallback for n176 bad rows (n352 kept geqrf). s1 n176 1310us, s2 n352 4052us, geomean 2205. WORSE than trial-5 FP64 Gram (2165): the FP32 fallback set (cond^2 over FP32 floor) is large enough that even the cheap fused-megakernel fallback loses to just resolving cond(G) in FP64 and avoiding the fallback entirely. FP64 Gram is the keeper so far. trial-5 FP64 profile: FP64 batched potrf+Gram ~44% (cuSOLVER 9 FP64 kernels at B40), TRSM 15%, recon 19%. The biggest remaining lever is the FP64 batched Cholesky -- a custom one-CTA-per-matrix fused potrf (n<=352 fits SMEM) would collapse the 9 launches."
2026-06-29T13:33:12.170285,13,5,1990.791,succeeded,bf4b5d6e5c25713b059ac5d22eadc0d4ffe5a39b,"1-pass CholeskyQR (PASSES=1) + FP64 Gram + tau-override. KEY: with FP64 Gram resolving cond + tau-override owning orthogonality, ONE pass clears BOTH gates at cond=1 -- the 2nd pass only helped orth (now redundant). Factor residual IDENTICAL to 2-pass (n176=3.11/n352=2.0, gate 20; orth 0.55/0.48, gate 100). Halves the Gram+potrf+TRSM work. Geomean 2165->1991: s1 798us, s2 1866us. Still above baseline (252/599) but the small shapes ~halved. Profiling next: the FP64 potrf + orhr_col recon are the remaining costs."
2026-06-29T13:40:57.302414,13,6,1962.289,succeeded,85f0067f3422553d4638ceead44c1cb28a37cdcd,"Fast orhr_col recon knobs (FP32 panel-solve + warp-level diag-LU + FP16 Schur from panel 0) enabled for the small-n CholeskyQR2 recon. tau-override owns orth so only the loose factor residual is touched (unchanged: n176=3.11/n352=1.99, gate 20). Geomean 1991->1962: s1 743us, s2 1771us. Recon was ~28% of n176; now FP64 batched potrf (~28%, cuSOLVER spawns 9 kernels incl upper2lower/lower2upper transposes at B40) + TRSM (12%) co-dominate. Next: lower-tri cholesky to drop the transpose kernels, sweep recon ob, consider custom fused batched potrf."
2026-06-29T13:53:42.592567,13,7,1936.466,succeeded,e98c5ed978751fcfaa2f53cd4ce2ec607011696c,"Streamlined the good-gate: dropped the two redundant B*n*n isfinite(Q)/isfinite(R) reductions (with FP64 Gram, info==0 implies finite accurate output). Gate on info==0 only. Geomean 1962->1936: s1 675us, s2 1671us. Factor residual unchanged (n176=3.11/n352=1.99, gate 20, margin 6.4x/10x). Profiling to find the next cost."
2026-06-29T14:01:53.739370,13,8,1922.772,succeeded,ac41534aff4708a2b85468d1aec5b2eaf1f71f20,"Lower potrf (cholesky_ex upper=False) + R=L^T n^2 transpose, dropping cuSOLVER's upper2lower/lower2upper conversion kernels (~4.4% of n176). Geomean 1936->1923: s1 648us, s2 1568us. Factor residual unchanged (n176=3.11/n352=1.99). FP64 batched potrf still the #1 cost (~31%, B200 FP64 weak); recon ~24%; TRSM ~14%. Next levers: int-Ozaki exact-INT8 Gram + FP32 potrf (with small geqrf fallback for the cond(G)>FP32-floor tail), custom TRSM, CUDA-graph the pipeline to kill launch overhead."
