branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-07-03-13-39-25/brief-0,40,12390,11.33,3,786,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-1,47,13417,12.34,4,961,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-10,32,6785,16.45,0,357,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-11,41,10565,13.63,1,691,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-12,15,3500,14.40,0,415,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-13,49,12073,14.31,0,504,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-14,16,4902,11.02,2,731,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-15,8,1770,14.24,0,396,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-16,9,2339,12.31,0,507,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-17,17,3341,17.24,0,364,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-18,2,480,7.50,0,480,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-19,24,4816,17.19,0,354,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-2,79,19902,14.11,3,657,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-22,2,479,7.52,0,479,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-23,24,5036,16.44,0,428,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-24,4,1224,8.82,0,568,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-25,46,11446,14.15,1,644,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-26,2,381,9.45,0,381,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-27,11,2105,17.10,0,362,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-28,3,380,18.95,0,220,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-29,26,5650,15.93,0,422,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-3,33,9111,12.64,1,794,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-30,48,12967,13.05,1,614,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-31,24,4814,17.20,0,573,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-32,27,8113,11.54,1,1208,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-33,39,9108,15.02,0,596,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-34,13,3723,11.60,0,574,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-35,16,4071,13.26,1,627,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-36,16,3183,16.97,0,583,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-37,4,841,12.84,0,537,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-38,7,946,22.83,0,219,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-39,3,174,41.27,0,139,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-4,58,18522,11.08,1,4282,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-40,28,7098,13.69,0,466,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-41,11,2336,15.41,0,403,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-42,12,2976,13.30,0,547,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-43,3,113,63.53,0,87,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-44,7,1107,19.52,0,231,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-45,49,17262,10.01,7,1577,+0.00
autocuda/optimize/2026-07-03-13-39-25/brief-46,8,1486,16.96,0,322,+0.00
