branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-0,4589,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-1,7906,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-11,3421,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-12,1577,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-14,4156,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-15,1367,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-16,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-17,4169,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-19,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-21,600,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-22,1350,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-23,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-26,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-27,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-28,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-29,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-3,3896,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-30,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-31,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-32,517,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-33,0,,,,,,,,,,
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-34,2636,,,,,,,,,,
