branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-0,8,2152,11.71,0,463,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-1,8,2814,8.96,2,744,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-2,4,1884,5.73,1,941,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-3,4,5866,1.84,2,3514,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-4,4,1597,6.76,1,637,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-0-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-0,2,2287,1.57,1,2287,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-1,2,847,4.25,1,847,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-11,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-1-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-0,3,1692,4.26,2,930,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-2,2,753,4.78,1,753,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-27-13-12-42/worker-2-brief-8,0,0,0.00,0,0,+0.00
