branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-0,4,2505,4.31,2,979,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-1,4,3183,3.39,3,1260,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-11,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-18,2,619,5.81,1,619,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-19,2,1584,2.27,1,1584,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-20,2,961,3.75,1,961,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-23,2,562,6.40,0,562,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-25,3,1265,5.69,1,670,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-26,3,1152,6.25,1,704,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-31,2,788,4.57,1,788,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-32,3,1438,5.01,1,845,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-34,2,478,7.54,0,478,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-36,2,565,6.37,0,565,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-37,2,711,5.06,1,711,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-40,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-41,3,933,7.72,1,664,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-42,3,1044,6.89,0,585,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-44,2,577,6.24,0,577,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-46,4,1936,5.58,2,778,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-47,3,1052,6.84,1,733,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-48,5,2399,6.00,2,864,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-49,5,2247,6.41,2,781,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-50,4,2331,4.63,3,874,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-51,5,2810,5.12,4,741,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-52,2,790,4.56,1,790,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-54,2,940,3.83,1,940,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-55,2,880,4.09,1,880,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-56,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-57,2,1595,2.26,1,1595,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-58,3,1623,4.44,2,862,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-59,3,1775,4.06,2,914,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-6,6,4098,4.39,3,1244,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-0-brief-60,2,500,7.20,0,500,+0.00
